         22662402 function calls (22652600 primitive calls) in 13.634 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1836    0.000    0.000    0.000    0.000 ACMAgent.py:41(_get_all_episode_state_action_pairs)
      918    0.001    0.000    0.001    0.000 ACMAgent.py:44(_get_all_episode_states)
     8967    0.002    0.000    0.002    0.000 ACMAgent.py:46(<lambda>)
     1836    0.001    0.000    0.001    0.000 ACMAgent.py:50(_get_previous_state)
      918    0.001    0.000    0.001    0.000 ACMAgent.py:53(_store_state_action_pair)
      918    0.011    0.000    1.383    0.002 ACMAgent.py:57(_run_updates)
      918    0.002    0.000    1.352    0.001 ACMAgent.py:72(choose_action)
       50    0.000    0.000    0.184    0.004 ACMAgent.py:89(end_state_reached)
     4959    0.001    0.000    0.001    0.000 Actor.py:100(<lambda>)
      918    0.043    0.000    0.846    0.001 Actor.py:109(update)
      918    0.028    0.000    0.485    0.001 Actor.py:116(<dictcomp>)
      969    0.001    0.000    0.001    0.000 Actor.py:12(__init__)
      918    0.022    0.000    0.314    0.000 Actor.py:129(<dictcomp>)
       50    0.000    0.000    0.001    0.000 Actor.py:141(reset_eligibilities_and_decay_epsilon)
      918    0.002    0.000    0.003    0.000 Actor.py:40(_update)
       50    0.000    0.000    0.000    0.000 Actor.py:56(_new)
    17934    0.025    0.000    0.284    0.000 Actor.py:69(_get_eligibility)
    14844    0.028    0.000    0.300    0.000 Actor.py:78(_get_action_value)
      918    0.002    0.000    0.148    0.000 Actor.py:90(get_action)
     5877    0.003    0.000    0.138    0.000 Actor.py:95(<lambda>)
     1936    0.041    0.000   11.342    0.006 Board.py:102(get_possible_moves)
    48400    0.061    0.000   11.124    0.000 Board.py:109(<lambda>)
   496750    0.230    0.000   10.878    0.000 Board.py:110(<lambda>)
      918    0.007    0.000    0.036    0.000 Board.py:121(make_move)
     1018    0.002    0.000    6.156    0.006 Board.py:146(is_game_finished)
       50    0.000    0.000    0.455    0.009 Board.py:152(get_game_score)
    76695    0.309    0.000    1.146    0.000 Board.py:197(__repr__)
    76695    0.054    0.000    1.222    0.000 Board.py:200(__hash__)
     9890    0.005    0.000    0.014    0.000 Board.py:23(<lambda>)
  2381176    1.553    0.000    2.222    0.000 Board.py:36(_is_position_valid)
    92842    0.536    0.000    9.042    0.000 Board.py:53(_get_occupied_positions)
   218855    0.110    0.000    0.110    0.000 Board.py:59(_get_holes)
    92792    0.169    0.000    9.274    0.000 Board.py:65(_is_position_occupied)
    94778    2.616    0.000    8.339    0.000 Board.py:71(_get_all_valid_positions)
  2369450    1.286    0.000    3.496    0.000 Board.py:77(<lambda>)
      923    0.003    0.000    0.022    0.000 Board.py:8(__init__)
   496750    0.576    0.000   10.635    0.000 Board.py:84(_can_move_to_hole)
      918    0.028    0.000    0.476    0.001 Critic.py:105(update)
      969    0.001    0.000    0.001    0.000 Critic.py:11(__init__)
      918    0.023    0.000    0.445    0.000 Critic.py:111(<dictcomp>)
      918    0.000    0.000    0.000    0.000 Critic.py:122(<dictcomp>)
       50    0.000    0.000    0.000    0.000 Critic.py:132(reset_eligibilities)
      968    0.002    0.000    0.003    0.000 Critic.py:49(_from_old_parameters)
    10803    0.011    0.000    0.195    0.000 Critic.py:69(_get_value)
      918    0.001    0.000    0.048    0.000 Critic.py:81(get_temporal_difference_error)
     8967    0.011    0.000    0.131    0.000 Critic.py:93(_get_eligibility)
